,programs,program_spec,entrance_tests,prioraty,min_score,link_1,cost
3,1,Компьютерная безопасность,информатика,1,65,https://www.hse.ru/ba/cosec/,440000
4,1,Компьютерная безопасность,математика,2,65,https://www.hse.ru/ba/cosec/,440000
5,1,Компьютерная безопасность,русский язык,3,60,https://www.hse.ru/ba/cosec/,440000
8,1,Математика,математика,1,75,https://www.hse.ru/ba/math/,440000
9,1,Математика,физика,2,65,https://www.hse.ru/ba/math/,440000
10,1,Математика,русский язык,3,60,https://www.hse.ru/ba/math/,440000
11,2,Совместный бакалавриат НИУ ВШЭ и Центра педагогического мастерства,математика,1,75,https://www.hse.ru/ba/cpm/,400000
12,2,Совместный бакалавриат НИУ ВШЭ и Центра педагогического мастерства,физика,2,65,https://www.hse.ru/ba/cpm/,400000
13,2,Совместный бакалавриат НИУ ВШЭ и Центра педагогического мастерства,русский язык,3,60,https://www.hse.ru/ba/cpm/,400000
15,3,Прикладная математика и информатика,математика,1,75,https://www.hse.ru/ba/cosec/,550000
16,3,Прикладная математика и информатика,информатика,2,75,https://www.hse.ru/ba/cosec/,550000
17,3,Прикладная математика и информатика,русский язык,3,60,https://www.hse.ru/ba/cosec/,550000
18,4,"Программа двух дипломов НИУ ВШЭ и Лондонского университета «Прикладной анализ данных»   (реализуется на
английском языке)",математика,1,70,https://www.hse.ru/ba/data/,680000
19,4,"Программа двух дипломов НИУ ВШЭ и Лондонского университета «Прикладной анализ данных»   (реализуется на
английском языке)",иностранный язык,2,70,https://www.hse.ru/ba/data/,680000
20,4,"Программа двух дипломов НИУ ВШЭ и Лондонского университета «Прикладной анализ данных»   (реализуется на
английском языке)",русский язык,3,60,https://www.hse.ru/ba/data/,680000
22,5,Прикладная математика,физика,1,65,https://www.hse.ru/ba/am/,390000
23,5,Прикладная математика,математика,2,65,https://www.hse.ru/ba/am/,390000
24,5,Прикладная математика,русский язык,3,60,https://www.hse.ru/ba/am/,390000
26,6,Физика,физика,1,70,https://www.hse.ru/ba/physics/,440000
27,6,Физика,математика,2,70,https://www.hse.ru/ba/physics/,440000
28,6,Физика,русский язык,3,60,https://www.hse.ru/ba/physics/,440000
30,7,Химия,химия,1,70,https://www.hse.ru/ba/chem/,440000
31,7,Химия,математика,2,70,https://www.hse.ru/ba/chem/,440000
32,7,Химия,русский язык,3,60,https://www.hse.ru/ba/chem/,440000
